authors;year;paper.number;es_id;genus;species;animal;animal_on_tree;pop;number.mts;type.of.study;treatment;condition;sperm.comp.rank;sperm_comp_cat;response.variable.type;is_gsi;is_abs_gonad_size;variable.type;variable.type1;meaning.response.variable;sample.size.stat;es_hedges_g;es_var;size.measure;major.size;sde.major.size;n1.size;minor.size;sde.minor.size;n2.size;sample.size.size;
Leach & Montgomerie;2000;29;19;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;"""Lake Opinicon, Ontario, Canada""";3;obs;NA;natural;2;1.L;sperm length (µm);0;0;quality;quality;;22;0.398765655;0.186947289;body length (cm) +/- sd;19.98916667;0.776128953;12;7.6921;1.191667594;10;22;
Leach & Montgomerie;2000;29;20;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;"""Lake Opinicon, Ontario, Canada""";3;obs;NA;natural;2;1.L;sperm concentration (milion sperm/µl);0;0;production;production_0;;21;-1.061184;0.22;body length (cm) +/- sd;19.98916667;0.776128953;12;7.6921;1.191667594;10;22;
Leach & Montgomerie;2000;29;21;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;"""Lake Opinicon, Ontario, Canada""";3;obs;NA;natural;2;1.L;number of sperm;0;0;production;production_0;;21;1.375776;0.2398;body length (cm) +/- sd;19.98916667;0.776128953;12;7.6921;1.191667594;10;22;
Leach & Montgomerie;2000;29;22;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;"""Lake Opinicon, Ontario, Canada""";3;obs;NA;natural;2;1.L;sperm velocity 45s postactivation (µm/s);0;0;quality;quality;;15;2.591435294;0.5206;body length (cm) +/- sd;19.98916667;0.776128953;12;7.6921;1.191667594;10;22;
Leach & Montgomerie;2000;29;23;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;"""Lake Opinicon, Ontario, Canada""";3;obs;NA;natural;2;1.L;ejaculate volume (µl);0;0;production;production_0;;22;1.400516456;0.2315;body length (cm) +/- sd;19.98916667;0.776128953;12;7.6921;1.191667594;10;22;
Neff et al;2003;21;80;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;minor 1: sneaker;natural;2;1.L;gonad mass (g);0;1;production;production_0;"""Total body weight and testes weight were obtained from each male. These data were log-transformed, and testes weights were regressed onto body weights (Stockley et al., 1997). The analysis was performed for each tactic, as well as for sneakers and satellites combined and for all males. The slope of each regression was compared to 0.75, which might be expected when there is allometric growth (Stockley et al., 1997; Taborsky, 1998) """;114;3.65024599;0.09515487;body weight (g) +/- sd;138.1436232;20.83775197;69;5.684955556;1.960016245;45;114;
Neff et al;2003;21;81;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;minor 1: sneaker;natural;2;1.L;GSI;1;0;production;production_1;"""The gonadal somatic index (GSI) for each tactic was
calculated as GSI = testes weight/total body weight, and values were compared among the three tactics by using ANOVA""";114;-2.481880669;0.063731343;body weight (g) +/- sd;138.1436232;20.83775197;69;5.684955556;1.960016245;45;114;
Neff et al;2003;21;82;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;minor 1: sneaker;natural;2;1.L;sperm density (per mm^3);0;0;production;production_0;"""A sample of 10 ll of free-flowing milt was collected from each of 22 sneakers, 26 satellites, and 76 parentals in 1984. From each sample, 2 ll was diluted in 1 ml of water and thoroughly mixed. Six microliters of the dilution was then injected into a Bright-line hemacytometer (American Optical), and the sperm were counted in five 0.2 3 0.2-mm grids under a compound light microscope at 3400 magnification. Sperm density was calculated by multiplying the mean sperm count per grid by the dilution factor and volume. The""";98;-3.854711516;0.134422649;body weight (g) +/- sd;138.1436232;20.83775197;69;5.684955556;1.960016245;45;114;
Neff et al;2003;21;83;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;minor 1: sneaker;natural;2;1.L;sperm longevity (s);0;0;quality;quality;"""Sperm longevity was estimated as the time from activation until approximately 80% of the spermatozoa within the field of view were no longer motile (showing forward movement). Because our criterion was subjective, measurements were repeated four times for each male, twice by each of two observers. Repeatability was examined within observers by using correlation between the two measurements taken for each fish. These two measure- ments were then averaged, and the repeatability across observers was examined by using correlation between the two means for each fish.""";17;1.885970957;0.34747145;body weight (g) +/- sd;138.1436232;20.83775197;69;5.684955556;1.960016245;45;114;
Burness et al;2004;20;84;Lepomis;Bluegill;Lepomis_macrochirus;Lepomis_macrochirus;Lake Opinicon, Ontario, Canada;3;obs;NA;natural;2;1.L;STR: straightness after 5s;0;0;quality;quality;"""The straightness (STR) with which the sperm of each male swam was calculated as STR=VSL/VAP for each sperm track, where VSL is the speed over the straight-line distance between the start and end of the sperm’s path.""";22;-0.119516997;0.196753215;?;?;?;?;?;?;?;?;
